"Number of Seats","Average Distance To Focal Point","Obstructed Views Ratio","Curvature","Bottom Row Length between Aisles","Number of Rows","Incline","Bottom Row End"
236,24.7154222599252,0.733333333333333,0.5,20,10,0.45,12.3
1164,55.9753543320347,0.885964912280702,0.5,23,19,0.45,33.6
736,44.5651534178306,0.840579710144927,0.2,24,23,0.25,19.6
690,50.6905374777449,0.546296296296296,0.3,22,12,0.45,49.5
328,29.2351320414642,0.743589743589744,0.3,21,13,0.35,15.8
208,27.6564365050482,0.458333333333333,0.4,22,8,0.45,22
880,50.6566962680606,0.855555555555556,0.5,20,15,0.45,34.9
1476,64.5452637805136,0.788888888888889,0.2,22,30,0.35,34.7
516,41.3345056491206,0.565656565656566,0.1,22,11,0.45,48.3
456,41.9220412402132,0.685185185185185,0.5,20,9,0.55,35.3
546,42.3005491080277,0.833333333333333,0.2,21,22,0.45,14.9
1120,54.2474976490647,0.925925925925926,0.6,21,18,0.45,30.7
968,54.8024517597311,0.904761904761905,0.6,24,14,0.45,38.7
1156,55.1959058540261,0.935185185185185,0.6,24,18,0.45,31.8
1300,59.6484471337693,0.737179487179487,0.2,20,26,0.35,36.8
1240,59.5448925538978,0.649122807017544,0.4,21,19,0.55,40.8
1320,58.871468005707,0.73015873015873,0.3,22,21,0.25,43.2
72,14.8579516177679,0.5,0.2,24,6,0.35,11.8
320,32.9624344729996,0.729166666666667,0.2,24,16,0.55,13.8
848,44.4638061662131,0.754385964912281,0.5,20,19,0.55,17.6
324,32.9427016331366,0.597222222222222,0.2,24,12,0.55,25.4
788,47.5385213725427,0.686274509803922,0.3,21,17,0.45,33.4
792,47.6839911221944,0.802083333333333,0.5,20,16,0.55,28.3
690,56.4889983590904,0.322222222222222,0.6,21,10,0.55,47.5
1620,64.8182276542121,0.840909090909091,0.4,24,22,0.25,44.6
1098,59.2079859011107,0.685185185185185,0.4,20,18,0.45,43.7
668,44.7901967812333,0.761904761904762,0.5,23,14,0.55,28.8
1288,50.3772462810271,0.936507936507937,0.6,24,21,0.25,22.2
1950,73.7647254838337,0.835555555555556,0.5,21,25,0.45,44
1340,61.8227918049311,0.866666666666667,0.3,24,30,0.35,25.6
774,45.8654461348787,0.888888888888889,0.4,20,24,0.45,11.5
608,41.5787858480001,0.822916666666667,0.4,20,16,0.35,24.7
1692,68.6146130145369,0.833333333333333,0.4,22,24,0.25,45.8
1056,52.6736086165662,0.533333333333333,0.1,24,20,0.35,46.8
518,35.2264468774782,0.791666666666667,0.4,21,16,0.35,15.8
532,45.9040880649022,0.722222222222222,0.4,24,9,0.35,44.7
752,47.3684487673559,0.635416666666667,0.3,22,16,0.55,34.4
1344,66.4835275297847,0.614814814814815,0.1,20,30,0.45,42.8
1432,61.327703517918,0.731884057971015,0.3,23,23,0.35,41.4
238,27.4789409998878,0.714285714285714,0.1,21,14,0.35,15.1
482,34.5197560350437,0.769230769230769,0.4,22,13,0.35,21.1
944,53.6575204610459,0.666666666666667,0.4,24,15,0.45,42.4
228,25.569147366873,0.416666666666667,0.2,24,8,0.45,23.6
524,42.4911306158525,0.716666666666667,0.3,24,10,0.25,42.6
228,32.003828313559,0.444444444444444,0.6,20,6,0.55,26.7
288,32.9345590419398,0.595238095238095,0.2,24,7,0.45,38.1
1532,65.3432529997867,0.859649122807018,0.5,24,19,0.35,46.1
324,32.7189819355543,0.55,0.2,24,10,0.55,30.2
456,37.5656852780287,0.722222222222222,0.5,23,12,0.45,24.5
2476,77.9936654665856,0.82183908045977,0.4,24,29,0.35,47
852,46.8986861045009,0.904761904761905,0.5,20,21,0.25,20.1
338,29.3732274653584,0.717948717948718,0.4,20,13,0.45,13.4
1388,57.2422054766247,0.924242424242424,0.6,20,22,0.35,27.7
1004,52.8640913491076,0.549019607843137,0.2,24,17,0.35,47.8
388,33.4914122958639,0.651515151515151,0.1,24,11,0.35,34.9
